title,description,supplierName,supplierProductId,supplierUrl,category,imageUrls,supplierCost,shippingCost,currency,stockStatus
Air Jordan 1 Retro High OG Chicago,Iconic Air Jordan 1 in the legendary Chicago colorway. Full-grain leather upper with Nike Air cushioning. Perforated toe box for breathability. Rubber outsole with herringbone traction pattern. DS deadstock condition with original box.,KickSupply Direct,KS-AJ1-CHI,https://supplier.example.com/ks-aj1-chi,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,48.00,6.00,USD,in_stock
Nike Dunk Low Panda White Black,The clean-cut Dunk Low in the iconic Panda colorway. Leather upper with perforated toe box. Padded collar for comfort. Nike Swoosh branding. Rubber cupsole with pivot point. One of the most sought-after silhouettes of the decade.,KickSupply Direct,KS-DUNK-PND,https://supplier.example.com/ks-dunk-pnd,Fashion,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,38.00,5.50,USD,in_stock
Adidas Yeezy Boost 350 V2 Zebra,Kanye West's iconic Yeezy Boost 350 V2 in the coveted Zebra colorway. Primeknit upper with BOOST cushioning technology. Distinctive side stripe detail. Translucent rubber outsole. Unisex sizing available. Comes in original packaging.,YeezySource Co,YS-350V2-ZBR,https://supplier.example.com/ys-350v2-zbr,Fashion,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,62.00,7.00,USD,in_stock
New Balance 550 White Grey,Retro basketball shoe reissued for modern streetwear. Leather and mesh upper with classic New Balance branding. Vintage cup sole construction. EVA foam midsole. Clean white and grey colorway works with any outfit.,NB Wholesale Hub,NB-550-WGY,https://supplier.example.com/nb-550-wgy,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,32.00,5.00,USD,in_stock
Nike Air Force 1 Low Triple White,The shoe that started it all. Classic Air Force 1 in the timeless triple white. Full leather upper with perforated toe cap. Nike Air unit in heel. Durable rubber outsole. Versatile enough for any occasion from street to gym.,KickSupply Direct,KS-AF1-WHT,https://supplier.example.com/ks-af1-wht,Fashion,https://images.unsplash.com/photo-1584735175315-9d5df23be2c2?w=600,28.00,4.50,USD,in_stock
Adidas Stan Smith White Green,Tennis icon turned streetwear staple. Smooth leather upper with serrated 3-Stripes detail. Perforated Stan Smith face logo on tongue. OrthoLite insole for comfort. Herringbone rubber outsole. Minimal design that goes with everything.,Adidas Wholesale,AW-STAN-WGN,https://supplier.example.com/aw-stan-wgn,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,22.00,4.00,USD,in_stock
Puma Suede Classic Shadow Grey,The original Puma Suede first created in 1968. Premium suede upper with formstripe branding. Rubber outsole for grip. Padded ankle collar. Available in shadow grey — a versatile neutral that pairs with any outfit. Iconic silhouette that shaped sneaker culture.,Puma Direct Supply,PD-SDE-GRY,https://supplier.example.com/pd-sde-gry,Fashion,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,19.00,3.50,USD,in_stock
Converse Chuck Taylor All Star High Black,The legendary Chuck Taylor All Star in classic black. Canvas upper with rubber toe cap and bumper. Medial eyelets for ventilation. OrthoLite cushioned insole. Rubber outsole with cupsole construction. 100+ year heritage design still relevant today.,Converse Supply Hub,CSH-CTAYH-BLK,https://supplier.example.com/csh-ctayh-blk,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,14.50,3.00,USD,in_stock
Vans Old Skool True White,The iconic Vans Old Skool with the original side stripe. Canvas and suede upper. Waffle outsole for superior traction. Padded collar for comfort. Internal foam padding for a locked-in feel. Classic skate shoe silhouette.,Vans Wholesale,VW-OLDS-WHT,https://supplier.example.com/vw-olds-wht,Fashion,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,17.00,3.50,USD,in_stock
Reebok Classic Leather White,Simple and iconic. Reebok Classic Leather in clean white. Full-grain leather upper. EVA midsole for cushioning. Low-cut silhouette. Die-cut midsole for lightweight cushioning. A timeless sneaker that has been in production since 1983.,ReebokDirect Supply,RD-CLSSLTH-WHT,https://supplier.example.com/rd-clsslth-wht,Fashion,https://images.unsplash.com/photo-1584735175315-9d5df23be2c2?w=600,18.50,3.50,USD,in_stock
Nike Air Max 90 White Infrared,The Air Max 90 in the original infrared colorway that defined a generation. Max Air cushioning in heel. Engineered mesh upper with leather overlays. Waffle-pattern rubber outsole. BRS 1000 carbon rubber outsole pods. A running classic turned streetwear icon.,KickSupply Direct,KS-AM90-INFR,https://supplier.example.com/ks-am90-infr,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,42.00,5.50,USD,in_stock
Adidas Superstar Shell Toe White Black,Born in the 70s on the basketball court. Adidas Superstar with the iconic shell toe. Leather upper with 3-Stripes detail. Rubber shell toe protection. OrthoLite sockliner. Herringbone rubber outsole. Endorsed by Run-DMC. Still a cultural cornerstone.,Adidas Wholesale,AW-SUPSTR-WBK,https://supplier.example.com/aw-supstr-wbk,Fashion,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,24.00,4.00,USD,in_stock
Nike SB Dunk High Pro Black,Skateboarding DNA meets street style. Nike SB Dunk High in classic black leather. Zoom Air insole for impact protection. Padded tongue and collar for ankle support. Herringbone-pattern outsole for grip. Gum rubber outsole for board feel.,KickSupply Direct,KS-SBDH-BLK,https://supplier.example.com/ks-sbdh-blk,Fashion,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,44.00,6.00,USD,in_stock
New Balance 990v5 Grey,Made in USA premium running shoe elevated to lifestyle icon. 990v5 in classic grey. ENCAP midsole technology. Pigskin and mesh upper. Reflective details. Dual-density collar foam. Ground contact Blown rubber outsole. The pinnacle of New Balance craftsmanship.,NB Wholesale Hub,NB-990V5-GRY,https://supplier.example.com/nb-990v5-gry,Fashion,https://images.unsplash.com/photo-1584735175315-9d5df23be2c2?w=600,68.00,7.50,USD,in_stock
ASICS Gel-Lyte III Cream,Japanese running heritage meets global streetwear. Gel-Lyte III with split-tongue design in cream. ASICS GEL cushioning system. Suede and mesh upper. Removable sockliner. AHAR rubber outsole for durability. A cult favourite since 1990.,ASICS Supply Japan,ASJ-GLT3-CRM,https://supplier.example.com/asj-glt3-crm,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,34.00,5.00,USD,in_stock
Nike Zoom Freak 5 Giannis,Giannis Antetokounmpo's signature performance shoe. Nike Zoom Freak 5 with dual Zoom Air units. Engineered textile upper for lockdown fit. Herringbone traction pattern. Wide base for lateral stability. Built for the Greek Freak's game.,KickSupply Direct,KS-ZFK5-GIA,https://supplier.example.com/ks-zfk5-gia,Sports,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,46.00,6.00,USD,in_stock
Adidas Ultraboost 23 Core Black,The pinnacle of Adidas running innovation. Ultraboost 23 with responsive BOOST cushioning. Stretchweb outsole for natural flexibility. Primeknit+ upper. Linear Energy Push system. Zero dye upper for sustainability. A shoe that runs as good as it looks.,Adidas Wholesale,AW-UB23-CBK,https://supplier.example.com/aw-ub23-cbk,Sports,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,52.00,6.00,USD,in_stock
